3/27/2018 0:07	351.2	6.0737	14232	256.86	6.0527	8.05E+05	256.86	6.0527	7.75E+05	2.8581	0.049427	97.092	1.7	97.533	41.652	2.3023	3273.5	3156.8	2.49E+05	6047.5	6.12E+05	8.69E+05	2.02E+05	6052.7	6.37E+05	0.51584	0.53184	0.70467	0.99565	0.043055	0.062436	0.70962	0.063733	0.73132	0.99655	54.469	0.84703	116.64	1.5174	0	17907	8668.3	12014	43938	0.02557	1	1852.1	48.43	25.95	17.714	50.446	46.412	25.622	1851.5	1.5608	1.0957	17.751	12.037	34.564	16.819	1.1101	0.7781
3/27/2018 0:08	316.08	5.4664	14517	231.17	5.4475	8.18E+05	231.17	5.4475	7.91E+05	2.484	0.042958	97.473	1.7	97.828	45.971	2.3023	3600.3	3483.6	2.24E+05	5442.8	6.24E+05	8.53E+05	1.82E+05	5447.5	6.47E+05	0.51582	0.53182	0.70467	0.99564	0.043058	0.059902	0.70962	0.061253	0.73135	0.99655	54.472	0.84704	116.62	1.5172	0	17859	8687.5	12029	43944	0.025582	1	1853.4	48.437	25.968	17.718	50.404	46.413	25.643	1852.2	1.5829	1.0871	17.75	12.037	34.564	16.819	1.1107	0.7785
3/27/2018 0:09	348.47	6.0265	14236	254.92	6.0057	8.05E+05	254.92	6.0057	7.75E+05	2.8324	0.048984	97.119	1.7	97.555	41.94	2.3017	3290.7	3174.2	2.47E+05	6000.5	6.12E+05	8.59E+05	2.00E+05	6005.7	6.36E+05	0.51594	0.53194	0.70472	0.99564	0.043026	0.062234	0.70966	0.063533	0.73153	0.99654	54.43	0.84713	116.5	1.516	0	17876	8668.7	12036	43943	0.02558	1	1848.7	48.409	25.992	17.711	50.437	46.413	25.669	1847.6	1.5952	1.0872	17.751	12.037	34.563	16.819	1.1106	0.77839
3/27/2018 0:10	330.93	5.723	14410	242.08	5.7032	8.13E+05	242.08	5.7032	7.85E+05	2.5335	0.043814	97.423	1.7	97.709	43.8	2.3017	3433.4	3316.9	2.35E+05	5698.3	6.19E+05	8.68E+05	1.90E+05	5703.2	6.43E+05	0.51587	0.53187	0.7047	0.99563	0.043043	0.060224	0.70965	0.061568	0.73151	0.99654	54.451	0.84711	116.51	1.5162	0	17887	8686.1	12004	43938	0.025567	1	1858	48.428	26.008	17.717	50.424	46.415	25.681	1854.7	1.5829	1.0953	17.751	12.038	34.563	16.819	1.1101	0.77807
3/27/2018 0:11	341.27	5.9019	14293	249.62	5.8815	8.08E+05	249.62	5.8815	7.79E+05	2.8999	0.05015	97.05	1.7	97.618	42.209	2.302	3315.8	3199.2	2.42E+05	5876.4	6.15E+05	8.57E+05	1.96E+05	5881.5	6.39E+05	0.51573	0.53172	0.70467	0.99563	0.043078	0.062742	0.70961	0.064033	0.73143	0.99654	54.494	0.84705	116.55	1.5166	0	17863	8667.8	12013	43902	0.025529	1	1846.5	48.468	26.035	17.718	50.442	46.409	25.708	1848.7	1.5913	1.0899	17.751	12.037	34.563	16.819	1.1106	0.77844
3/27/2018 0:12	367.04	6.3477	14097	268.52	6.3257	7.99E+05	268.52	6.3257	7.68E+05	2.9508	0.051032	96.998	1.7	97.416	38.02	2.3016	2995.8	2879.2	2.60E+05	6320.2	6.06E+05	8.73E+05	2.11E+05	6325.7	6.32E+05	0.51584	0.53183	0.7047	0.99562	0.043051	0.063062	0.70965	0.064344	0.73156	0.99654	54.459	0.84712	116.47	1.5158	0	17865	8665.4	12000	43873	0.025503	1	1855.9	48.442	26.044	17.713	50.402	46.392	25.721	1853.4	1.6	1.1123	17.751	12.037	34.563	16.819	1.1108	0.77857
3/27/2018 0:13	319.6	5.5271	14481	233.81	5.5079	8.16E+05	233.81	5.5079	7.89E+05	2.4939	0.04313	97.463	1.7	97.798	45.408	2.3015	3554.7	3438.2	2.27E+05	5503.1	6.23E+05	8.63E+05	1.84E+05	5507.9	6.45E+05	0.51585	0.53185	0.70471	0.99563	0.043047	0.059957	0.70965	0.061306	0.73157	0.99654	54.454	0.84713	116.47	1.5158	0	17882	8688	12037	43944	0.025545	1	1852.5	48.437	26.037	17.711	50.415	46.397	25.716	1850.4	1.5966	1.1037	17.751	12.037	34.563	16.819	1.1105	0.77835
3/27/2018 0:14	336.84	5.8253	14324	246.42	5.8052	8.09E+05	246.42	5.8052	7.80E+05	2.7678	0.047866	97.184	1.7	97.647	43.657	2.3017	3423	3306.5	2.39E+05	5800.1	6.16E+05	8.58E+05	1.94E+05	5805.2	6.40E+05	0.51584	0.53184	0.7047	0.99563	0.043049	0.061817	0.70965	0.063127	0.73154	0.99654	54.457	0.84711	116.49	1.5159	0	17878	8674.4	12014	43910	0.025557	1	1847.3	48.438	26.031	17.71	50.412	46.412	25.711	1845.9	1.5893	1.0813	17.751	12.037	34.563	16.819	1.1105	0.77837
3/27/2018 0:15	385.16	6.6609	13965	281.7	6.6379	7.94E+05	281.7	6.6379	7.61E+05	3.1418	0.054335	96.804	1.7	97.267	35.923	2.3021	2839.5	2722.8	2.73E+05	6632.1	6.00E+05	8.75E+05	2.21E+05	6637.9	6.28E+05	0.51576	0.53175	0.70466	0.99564	0.043073	0.064377	0.70961	0.065632	0.73137	0.99654	54.489	0.84703	116.6	1.517	0	17872	8655.2	12012	43895	0.025562	1	1858.6	48.457	26.001	17.711	50.419	46.413	25.689	1856.9	1.5883	1.1114	17.751	12.037	34.563	16.819	1.1106	0.7784
3/27/2018 0:16	360.49	6.2343	14201	263.67	6.2127	8.04E+05	263.67	6.2127	7.73E+05	3.0232	0.052283	96.925	1.7	97.472	39.781	2.302	3129.2	3012.6	2.56E+05	6207.4	6.10E+05	8.71E+05	2.07E+05	6212.7	6.36E+05	0.51586	0.53186	0.70469	0.99564	0.043046	0.063547	0.70964	0.064819	0.73145	0.99655	54.456	0.84708	116.55	1.5166	0	17908	8661.6	12005	43939	0.025563	1	1862.1	48.428	25.99	17.711	50.43	46.415	25.678	1862	1.5762	1.1239	17.751	12.037	34.563	16.819	1.1108	0.77855
3/27/2018 0:17	346.81	5.9977	14286	253.67	5.977	8.07E+05	253.67	5.977	7.78E+05	2.7573	0.047684	97.195	1.7	97.587	40.787	2.3019	3204.7	3088.1	2.46E+05	5971.8	6.14E+05	8.68E+05	1.99E+05	5977	6.39E+05	0.51591	0.53191	0.7047	0.99564	0.043036	0.061734	0.70965	0.063044	0.73146	0.99655	54.443	0.8471	116.55	1.5165	0	17873	8673.3	12028	43929	0.025571	1	1859	48.416	25.979	17.723	50.383	46.439	25.672	1857.6	1.5688	1.1125	17.751	12.037	34.563	16.819	1.1103	0.77823
3/27/2018 0:18	330.23	5.711	14389	241.56	5.6913	8.12E+05	241.56	5.6913	7.84E+05	2.5003	0.04324	97.456	1.7	97.71	44.276	2.3018	3470.2	3353.6	2.34E+05	5686.3	6.19E+05	8.60E+05	1.90E+05	5691.3	6.42E+05	0.51585	0.53185	0.7047	0.99563	0.043049	0.060004	0.70964	0.061352	0.73148	0.99654	54.458	0.84709	116.53	1.5163	0	17875	8686	12019	43925	0.025577	1	1851.9	48.433	26.006	17.72	50.434	46.443	25.685	1849.2	1.5947	1.0915	17.751	12.037	34.563	16.819	1.1104	0.77824
3/27/2018 0:19	362.49	6.2689	14168	265.23	6.2472	8.02E+05	265.23	6.2472	7.71E+05	3.0965	0.05355	96.85	1.7	97.445	39.96	2.3012	3139.4	3022.9	2.57E+05	6241.7	6.08E+05	8.64E+05	2.08E+05	6247.2	6.34E+05	0.51601	0.53201	0.70475	0.99563	0.043007	0.064008	0.7097	0.065268	0.7317	0.99654	54.404	0.84721	116.4	1.515	0	17894	8658.2	11987	43886	0.025551	1	1855.7	48.396	26.027	17.718	50.397	46.443	25.706	1856.5	1.5858	1.0924	17.751	12.038	34.563	16.819	1.1102	0.77817
3/27/2018 0:20	303.07	5.2412	14668	221.73	5.2231	8.24E+05	221.73	5.2231	7.99E+05	2.3201	0.040124	97.64	1.7	97.936	48.371	2.3014	3778.5	3662	2.15E+05	5218.5	6.31E+05	8.60E+05	1.74E+05	5223.1	6.52E+05	0.51587	0.53186	0.70471	0.99562	0.043042	0.058776	0.70966	0.06015	0.73162	0.99653	54.447	0.84715	116.43	1.5154	0	17901	8696.4	12016	43983	0.025607	1	1863	48.435	26.054	17.733	50.403	46.443	25.738	1860.8	1.5583	1.0967	17.752	12.038	34.563	16.819	1.1096	0.77769
3/27/2018 0:21	359.02	6.2089	14203	262.69	6.1874	8.04E+05	262.69	6.1874	7.73E+05	2.9762	0.05147	96.972	1.7	97.488	39.338	2.3011	3093.6	2977.2	2.55E+05	6181.9	6.10E+05	8.65E+05	2.06E+05	6187.4	6.36E+05	0.51589	0.53188	0.70473	0.99562	0.043036	0.063219	0.70967	0.064497	0.7317	0.99653	54.438	0.84719	116.38	1.5149	0	17881	8662.7	12012	43923	0.025558	1	1861	48.432	26.076	17.732	50.413	46.454	25.759	1861.3	1.5756	1.0809	17.752	12.038	34.563	16.819	1.1101	0.77803
3/27/2018 0:22	346.22	5.9876	14313	253.34	5.9668	8.09E+05	253.34	5.9668	7.79E+05	2.6778	0.046309	97.276	1.7	97.59	41.402	2.301	3249.3	3132.9	2.46E+05	5961.6	6.15E+05	8.70E+05	1.99E+05	5966.8	6.40E+05	0.51591	0.5319	0.70474	0.99561	0.04303	0.06119	0.70968	0.062511	0.73175	0.99653	54.43	0.84721	116.35	1.5146	0	17874	8678	12000	43909	0.025564	1	1863.3	48.428	26.085	17.75	50.383	46.473	25.765	1860.9	1.5905	1.1066	17.752	12.038	34.562	16.819	1.1102	0.77812
3/27/2018 0:23	264.82	4.5798	14981	193.82	4.5639	8.37E+05	193.82	4.5639	8.14E+05	2.1273	0.036789	97.836	1.7	98.222	58.867	2.3004	4562.8	4446.6	1.88E+05	4559.9	6.43E+05	8.42E+05	1.52E+05	4563.9	6.62E+05	0.51612	0.53212	0.7048	0.99561	0.042977	0.057405	0.70974	0.058805	0.73194	0.99653	54.363	0.84732	116.23	1.5134	0	17882	8706.2	12001	43938	0.0256	1	1855.6	48.374	26.079	17.75	50.415	46.473	25.768	1853.8	1.5805	1.0709	17.753	12.038	34.562	16.819	1.1095	0.77765
3/27/2018 0:24	345.69	5.9784	14320	252.96	5.9577	8.09E+05	252.96	5.9577	7.79E+05	2.7316	0.04724	97.221	1.7	97.59	42.163	2.301	3306.2	3189.8	2.45E+05	5952.5	6.15E+05	8.62E+05	1.99E+05	5957.7	6.40E+05	0.51596	0.53195	0.70475	0.99562	0.04302	0.061545	0.70969	0.062858	0.73174	0.99653	54.418	0.84721	116.36	1.5146	0	17893	8675.3	12009	43954	0.025619	1	1859	48.414	26.066	17.752	50.402	46.473	25.751	1860.4	1.5788	1.0533	17.753	12.039	34.562	16.819	1.1089	0.77723
3/27/2018 0:25	285.34	4.9347	14786	208.72	4.9176	8.30E+05	208.72	4.9176	8.06E+05	2.2872	0.039555	97.673	1.7	98.054	53.944	2.3018	4204.6	4088	2.02E+05	4913.3	6.36E+05	8.50E+05	1.64E+05	4917.6	6.57E+05	0.51572	0.53171	0.70467	0.99562	0.043079	0.058588	0.70962	0.059969	0.7315	0.99653	54.494	0.84707	116.51	1.5161	0	17875	8697.8	12013	43941	0.025605	1	1851.5	48.473	26.063	17.763	50.453	46.474	25.746	1849.8	1.5802	1.0678	17.752	12.038	34.563	16.819	1.1103	0.77819
3/27/2018 0:26	316.96	5.4814	14482	231.88	5.4624	8.16E+05	231.88	5.4624	7.89E+05	2.509	0.04339	97.448	1.7	97.813	46.331	2.3015	3624.6	3508.1	2.25E+05	5457.7	6.23E+05	8.47E+05	1.82E+05	5462.4	6.45E+05	0.51587	0.53186	0.70471	0.99563	0.043043	0.060057	0.70966	0.061404	0.73158	0.99654	54.449	0.84713	116.46	1.5157	0	17892	8686.3	12023	43945	0.025594	1	1849.3	48.432	26.037	17.77	50.405	46.492	25.728	1844.2	1.5727	1.0529	17.751	12.037	34.563	16.819	1.111	0.77873
3/27/2018 0:27	323.87	5.601	14481	236.88	5.5816	8.16E+05	236.88	5.5816	7.89E+05	2.8016	0.048451	97.15	1.7	97.767	45.147	2.302	3536.9	3420.3	2.30E+05	5576.8	6.23E+05	8.56E+05	1.86E+05	5581.6	6.46E+05	0.5158	0.53179	0.70468	0.99563	0.043063	0.06206	0.70963	0.063365	0.73144	0.99654	54.475	0.84707	116.56	1.5166	0	17858	8670.9	12008	43893	0.025553	1	1855.9	48.448	26.011	17.779	50.473	46.503	25.703	1856.9	1.5872	1.0749	17.751	12.037	34.563	16.819	1.1105	0.77834
3/27/2018 0:28	377.97	6.5367	14013	276.42	6.5141	7.96E+05	276.42	6.5141	7.64E+05	3.0193	0.052215	96.929	1.7	97.313	37.431	2.3023	2954.5	2837.8	2.68E+05	6508.5	6.03E+05	8.79E+05	2.17E+05	6514.1	6.30E+05	0.51571	0.5317	0.70465	0.99564	0.043085	0.063558	0.7096	0.064832	0.73132	0.99655	54.504	0.847	116.63	1.5174	0	17886	8661.4	12014	43912	0.025561	1	1853.7	48.468	25.996	17.786	50.47	46.503	25.683	1852.3	1.5932	1.1079	17.75	12.037	34.563	16.819	1.111	0.77871
3/27/2018 0:29	306.64	5.3031	14603	224.28	5.2848	8.22E+05	224.28	5.2848	7.95E+05	2.3235	0.040183	97.636	1.7	97.905	47.356	2.302	3703.7	3587.1	2.18E+05	5280.2	6.28E+05	8.55E+05	1.76E+05	5284.8	6.50E+05	0.51584	0.53183	0.70469	0.99564	0.043053	0.05881	0.70963	0.060185	0.73142	0.99655	54.465	0.84707	116.57	1.5167	0	17866	8695.6	12037	43936	0.025559	1	1854	48.435	25.989	17.794	50.398	46.503	25.68	1853.9	1.5866	1.0961	17.75	12.037	34.563	16.819	1.111	0.77866
3/27/2018 0:30	323.87	5.601	14458	236.92	5.5817	8.15E+05	236.92	5.5817	7.87E+05	2.6775	0.046305	97.276	1.7	97.763	44.864	2.3017	3512.7	3396.2	2.30E+05	5576.8	6.21E+05	8.57E+05	1.86E+05	5581.7	6.44E+05	0.51592	0.53192	0.70472	0.99564	0.043031	0.061189	0.70966	0.06251	0.73153	0.99654	54.436	0.84713	116.5	1.5161	0	17853	8678.3	12054	43928	0.025562	1	1854.4	48.414	25.998	17.804	50.39	46.503	25.689	1852.3	1.6088	1.0682	17.751	12.037	34.563	16.819	1.1104	0.77828
3/27/2018 0:31	363.75	6.2907	14162	266.06	6.269	8.03E+05	266.06	6.269	7.71E+05	3.0527	0.052793	96.895	1.7	97.449	38.627	2.302	3043	2926.4	2.58E+05	6263.5	6.09E+05	8.64E+05	2.09E+05	6269	6.35E+05	0.5158	0.53179	0.70468	0.99563	0.043062	0.063761	0.70963	0.065029	0.73144	0.99654	54.474	0.84707	116.55	1.5166	0	17888	8659.8	12024	43934	0.02555	1	1862.7	48.447	26.012	17.806	50.411	46.503	25.696	1861.6	1.6004	1.092	17.751	12.037	34.563	16.819	1.1103	0.77823
3/27/2018 0:32	325.8	5.6343	14443	238.28	5.6148	8.15E+05	238.28	5.6148	7.87E+05	2.5193	0.043568	97.437	1.7	97.746	44.987	2.3021	3526.5	3409.9	2.31E+05	5609.9	6.21E+05	8.63E+05	1.87E+05	5614.8	6.45E+05	0.51572	0.53172	0.70466	0.99563	0.043081	0.060162	0.70961	0.061509	0.73139	0.99654	54.497	0.84703	116.58	1.5168	0	17909	8686.7	12012	43962	0.02561	1	1855.2	48.468	26.022	17.821	50.451	46.508	25.711	1853	1.5701	1.1046	17.751	12.037	34.563	16.819	1.1109	0.77863
3/27/2018 0:33	346.2	5.9871	14252	253.25	5.9664	8.06E+05	253.25	5.9664	7.76E+05	2.8233	0.048826	97.128	1.7	97.586	40.78	2.3017	3205.4	3088.9	2.46E+05	5961.2	6.13E+05	8.66E+05	1.99E+05	5966.4	6.37E+05	0.51583	0.53182	0.70469	0.99563	0.043054	0.0622	0.70964	0.063501	0.73151	0.99654	54.464	0.8471	116.51	1.5161	0	17888	8670.1	12009	43936	0.025588	1	1848.9	48.442	26.027	17.827	50.504	46.529	25.712	1849.7	1.5626	1.0931	17.751	12.037	34.563	16.819	1.111	0.77867
3/27/2018 0:34	363.43	6.2851	14138	265.92	6.2634	8.00E+05	265.92	6.2634	7.69E+05	2.9654	0.051283	96.983	1.7	97.449	38.448	2.3012	3024.5	2908.1	2.58E+05	6257.9	6.07E+05	8.69E+05	2.09E+05	6263.4	6.33E+05	0.51602	0.53202	0.70475	0.99563	0.043005	0.063116	0.7097	0.064395	0.7317	0.99654	54.402	0.84721	116.39	1.515	0	17868	8663.9	12004	43903	0.02556	1	1859.7	48.393	26.025	17.826	50.363	46.533	25.71	1855	1.5788	1.1064	17.751	12.038	34.563	16.819	1.1103	0.77822
3/27/2018 0:35	338.01	5.8456	14352	247.25	5.8254	8.11E+05	247.25	5.8254	7.82E+05	2.5823	0.044659	97.373	1.7	97.649	43.226	2.3018	3391.2	3274.6	2.40E+05	5820.3	6.17E+05	8.70E+05	1.94E+05	5825.4	6.41E+05	0.51583	0.53182	0.70469	0.99563	0.043054	0.060566	0.70964	0.061902	0.73148	0.99654	54.465	0.84709	116.53	1.5163	0	17866	8684	12001	43884	0.025533	1	1855.1	48.441	26.016	17.838	50.394	46.533	25.705	1854.9	1.5992	1.113	17.752	12.038	34.563	16.819	1.1099	0.77791
3/27/2018 0:36	307.66	5.3207	14634	225.06	5.3023	8.23E+05	225.06	5.3023	7.97E+05	2.4202	0.041855	97.538	1.7	97.898	47.767	2.3017	3733.5	3617	2.18E+05	5297.7	6.29E+05	8.51E+05	1.77E+05	5302.3	6.51E+05	0.51585	0.53185	0.7047	0.99563	0.043047	0.059458	0.70965	0.060818	0.73153	0.99654	54.455	0.84711	116.5	1.516	0	17893	8691.3	12024	43980	0.025595	1	1863.8	48.435	26.024	17.846	50.401	46.535	25.707	1862.2	1.589	1.0709	17.751	12.037	34.563	16.819	1.1104	0.77831
3/27/2018 0:37	364.57	6.3049	14175	266.7	6.2831	8.03E+05	266.7	6.2831	7.72E+05	2.9638	0.051257	96.985	1.7	97.448	38.492	2.3016	3030.3	2913.8	2.59E+05	6277.6	6.09E+05	8.70E+05	2.10E+05	6283.1	6.35E+05	0.51591	0.53191	0.70471	0.99563	0.043034	0.063133	0.70966	0.064413	0.73155	0.99654	54.439	0.84713	116.49	1.5159	0	17881	8664.4	12000	43910	0.025561	1	1867.1	48.419	26.01	17.851	50.44	46.548	25.696	1865	1.5771	1.0798	17.751	12.038	34.563	16.819	1.1103	0.77818
3/27/2018 0:38	320.13	5.5364	14485	234.16	5.5172	8.16E+05	234.16	5.5172	7.89E+05	2.6961	0.046627	97.257	1.7	97.785	47.003	2.3019	3677.8	3561.3	2.27E+05	5512.4	6.23E+05	8.57E+05	1.84E+05	5517.2	6.46E+05	0.5158	0.5318	0.70468	0.99563	0.04306	0.061343	0.70963	0.062663	0.73145	0.99654	54.472	0.84707	116.55	1.5165	0	17896	8677.5	12033	43959	0.025596	1	1850.6	48.446	26.014	17.858	50.398	46.559	25.697	1849.3	1.5773	1.1076	17.751	12.038	34.563	16.819	1.1103	0.77817
3/27/2018 0:39	348.74	6.0311	14283	255.13	6.0103	8.07E+05	255.13	6.0103	7.77E+05	2.7381	0.047352	97.215	1.7	97.563	41.458	2.3015	3253.4	3136.9	2.47E+05	6005.1	6.14E+05	8.65E+05	2.00E+05	6010.3	6.38E+05	0.51596	0.53196	0.70473	0.99563	0.04302	0.061589	0.70967	0.062901	0.73158	0.99654	54.422	0.84715	116.47	1.5158	0	17872	8675.4	12007	43916	0.025566	1	1857.2	48.404	25.999	17.868	50.401	46.563	25.691	1858.2	1.5783	1.0898	17.751	12.037	34.563	16.819	1.1104	0.77828
3/27/2018 0:40	297	5.1364	14713	217.25	5.1187	8.27E+05	217.25	5.1187	8.01E+05	2.3685	0.040961	97.591	1.7	97.983	49.468	2.3019	3862.9	3746.3	2.11E+05	5114.2	6.33E+05	8.51E+05	1.71E+05	5118.7	6.54E+05	0.51586	0.53186	0.70469	0.99564	0.043046	0.059108	0.70964	0.060476	0.73145	0.99655	54.456	0.84708	116.55	1.5166	0	17864	8691.5	12022	43917	0.025583	1	1860.4	48.428	25.99	17.881	50.408	46.563	25.681	1858.7	1.5935	1.0728	17.751	12.038	34.563	16.819	1.1102	0.77813
3/27/2018 0:41	342.44	5.9222	14336	250.47	5.9017	8.10E+05	250.47	5.9017	7.81E+05	2.7916	0.048278	97.16	1.7	97.623	41.656	2.302	3271.6	3155	2.43E+05	5896.6	6.16E+05	8.61E+05	1.97E+05	5901.7	6.41E+05	0.51587	0.53187	0.70469	0.99564	0.043046	0.061978	0.70964	0.063284	0.73142	0.99655	54.456	0.84707	116.58	1.5168	0	17867	8672.9	11991	43881	0.025559	1	1861.3	48.425	25.975	17.891	50.407	46.563	25.664	1859.5	1.6001	1.0736	17.751	12.037	34.563	16.819	1.1103	0.7782
3/27/2018 0:42	363.99	6.2948	14110	266.24	6.273	7.99E+05	266.24	6.273	7.68E+05	2.9985	0.051856	96.95	1.7	97.437	38.628	2.3019	3041.6	2925	2.58E+05	6267.6	6.06E+05	8.73E+05	2.09E+05	6273	6.32E+05	0.5159	0.5319	0.7047	0.99564	0.043037	0.063371	0.70965	0.064646	0.73145	0.99655	54.445	0.84709	116.56	1.5166	0	17871	8662.2	12026	43920	0.025584	1	1851.7	48.417	25.974	17.889	50.385	46.568	25.665	1850	1.5998	1.1051	17.751	12.037	34.563	16.819	1.1103	0.77819
3/27/2018 0:43	337.04	5.8289	14343	246.56	5.8087	8.09E+05	246.56	5.8087	7.80E+05	2.6493	0.045817	97.305	1.7	97.663	42.063	2.3016	3298.7	3182.2	2.39E+05	5803.7	6.16E+05	8.63E+05	1.94E+05	5808.7	6.40E+05	0.51603	0.53204	0.70474	0.99564	0.043005	0.060971	0.70968	0.062296	0.73155	0.99655	54.405	0.84716	116.5	1.516	0	17885	8678.9	12014	43938	0.025601	1	1850.1	48.383	25.963	17.897	50.433	46.571	25.658	1850.9	1.5913	1.1021	17.752	12.038	34.563	16.819	1.1098	0.77788
3/27/2018 0:44	331.7	5.7363	14373	242.62	5.7165	8.11E+05	242.62	5.7165	7.82E+05	2.7239	0.047107	97.229	1.7	97.675	46.705	2.3019	3652.7	3536.1	2.35E+05	5711.6	6.18E+05	8.58E+05	1.91E+05	5716.5	6.41E+05	0.51595	0.53195	0.70471	0.99564	0.043025	0.061498	0.70966	0.062813	0.73147	0.99655	54.431	0.84711	116.55	1.5165	0	17905	8676.1	12008	43947	0.025574	1	1845	48.403	25.964	17.909	50.38	46.577	25.648	1844.3	1.5729	1.0989	17.752	12.038	34.563	16.819	1.1098	0.77783
3/27/2018 0:45	348.35	6.0244	14278	254.77	6.0036	8.07E+05	254.77	6.0036	7.78E+05	2.6965	0.046634	97.257	1.7	97.567	41.316	2.3022	3246	3129.3	2.47E+05	5998.4	6.14E+05	8.73E+05	2.00E+05	6003.6	6.39E+05	0.51587	0.53188	0.70469	0.99565	0.043045	0.061331	0.70963	0.06265	0.73135	0.99655	54.456	0.84705	116.62	1.5172	0	17882	8676.8	12019	43942	0.025579	1	1861.9	48.42	25.949	17.916	50.382	46.59	25.641	1857.2	1.5663	1.0858	17.751	12.037	34.563	16.819	1.1102	0.77812
3/27/2018 0:46	326.76	5.6509	14409	238.99	5.6315	8.12E+05	238.99	5.6315	7.84E+05	2.6481	0.045796	97.306	1.7	97.742	43.831	2.3021	3435	3318.3	2.32E+05	5626.6	6.19E+05	8.52E+05	1.88E+05	5631.5	6.42E+05	0.51596	0.53197	0.70471	0.99565	0.043024	0.060981	0.70965	0.062307	0.73139	0.99655	54.431	0.84708	116.6	1.517	0	17871	8679.7	11999	43908	0.025552	1	1849	48.397	25.931	17.922	50.428	46.592	25.621	1847.8	1.5839	1.0906	17.751	12.037	34.564	16.819	1.11	0.77799
