oilfield,d,th,l,start_year,producer,liq_vol_flow,oil_mass_flow,w_cut,pressure,ingibition,object,report_year,liquid_speed,pipe_age,steel,accident_in_year
2,159.0,8.0,0.9390000000000001,2009.0,12,1977.0,56.29999923706055,96.68866386484925,11.5,0.0,11.0,2016.0,1.1529992411130456,7.0,Ст.20,1.0
2,168.0,12.0,1.75,2000.0,12,3707.5,98.0,96.92638833506781,15.85,0.0,11.0,2016.0,1.93677511796572,16.0,Ст.20,2.0
2,168.0,12.0,1.75,2000.0,12,4035.0,143.8000030517578,95.85602711588258,17.3,0.0,11.0,2017.0,2.1078590966936432,17.0,Ст.20,1.0
2,168.0,10.0,1.0,2000.0,12,1189.0,60.0,94.13225888473801,151.7,0.0,11.0,2014.0,0.6211262617022903,14.0,Ст.09ГСФ,1.0
2,219.0,6.0,0.88,1995.0,13,4248.0,162.3000030517578,95.55741681306229,14.0,0.0,11.0,2016.0,1.3059088924471585,21.0,Ст.10,1.0
2,219.0,6.0,0.88,1995.0,13,4270.0,173.6999969482422,95.26986555884096,20.3,0.0,11.0,2017.0,1.3126720740935425,22.0,Ст.10,1.0
2,273.0,8.0,0.6,2000.0,12,4091.0,90.4000015258789,97.4305480116342,10.1,0.0,11.0,2016.0,0.8093209566188108,16.0,Ст.09ГСФ,1.0
3,159.0,7.0,0.14,1980.0,14,368.0,154.0,51.3397371081901,13.0,0.0,32.0,2014.0,0.21461999025270653,34.0,Ст.10,1.0
4,114.0,5.0,0.15,1988.0,13,33.0,14.100000381469727,50.31712339157954,3.54,0.0,43.0,2016.0,0.03743870671078063,28.0,Ст.10,1.0
4,159.0,5.0,0.79,1988.0,14,215.5,23.10000038146973,87.6732822023325,3.76,0.0,38.0,2016.0,0.12568099972678876,28.0,Ст.10,2.0
4,273.0,6.0,2.5,1988.0,13,338.0,78.0999984741211,73.13196694849282,,0.0,33.0,2014.0,0.06686641000663847,26.0,Ст.10,1.0
5,114.0,6.0,0.777,2006.0,14,897.5,32.799999237060554,95.74348077041424,17.66,1.0,12.0,2016.0,1.0182193719068366,10.0,Ст.10пс,2.0
5,114.0,8.0,1.37,1994.0,13,40.0,14.899999618530273,56.68604762055154,14.0,0.0,12.0,2013.0,0.045380250558521976,19.0,Ст.20,1.0
5,114.0,8.0,1.37,1994.0,13,27.0,10.0,56.93367786391042,16.0,0.0,2.0,2015.0,0.030631669127002333,21.0,Ст.20,1.0
5,114.0,8.0,1.37,1994.0,13,23.0,10.5,46.91607684529828,14.8,0.0,12.0,2016.0,0.02609364407115013,22.0,Ст.20,1.0
5,114.0,10.0,0.9,2007.0,14,188.0,6.4000000953674325,96.04156352339965,13.93,0.0,12.0,2016.0,0.21328717762505325,9.0,Ст.20,1.0
5,114.0,10.0,0.9,2007.0,14,155.0,1.2999999523162842,99.02475622481899,7.5,0.0,12.0,2017.0,0.17584847091427264,10.0,Ст.20,1.0
5,159.0,10.0,0.6,2006.0,13,206.0,8.699999809265138,95.08918502525113,14.28,0.0,12.0,2015.0,0.12014053802189548,9.0,Ст.10,1.0
5,159.0,10.0,0.39,2003.0,13,811.5,40.25,94.23310840163342,9.0,0.0,12.0,2014.0,0.473272070896933,11.0,Ст.20А,2.0
5,159.0,10.0,0.39,2003.0,13,600.0,34.399999618530266,93.33226186905337,9.0,0.0,12.0,2015.0,0.3499238971511519,12.0,Ст.20А,2.0
5,159.0,10.0,1.3,2003.0,11,61.0,35.0,33.28250095310713,25.07,0.0,48.0,2015.0,0.03557559621036712,12.0,Ст.20А,1.0
5,159.0,10.0,1.3,2003.0,11,601.0,31.29999923706055,93.94420167220129,13.56,0.0,12.0,2016.0,0.35050710364640386,13.0,Ст.20А,1.0
5,159.0,10.0,1.88,2002.0,12,898.0,50.599998474121094,93.44797243562942,26.77,0.0,12.0,2015.0,0.5237194327362241,13.0,Ст.20С,1.0
5,159.0,10.0,1.88,2002.0,12,885.5,43.75,94.4163905624086,8.35,0.0,12.0,2017.0,0.5164293515455751,15.0,Ст.20С,2.0
5,159.0,10.0,0.924,2006.0,13,1126.0,51.3,94.7023834111281,21.0,0.0,2.0,2013.0,0.6566905136536618,7.0,Ст.13ХФА,1.0
5,168.0,10.0,0.45899999999999996,2008.0,14,175.0,1.7000000476837158,98.87043186200417,3.5,0.0,12.0,2017.0,0.09141891993095104,9.0,Ст.13ХФА,1.0
5,219.0,8.0,2.158,2006.0,13,2255.0,113.5,94.14737276336821,17.62,0.0,12.0,2016.0,0.6932261187543179,10.0,Ст.13ХФА,1.0
5,219.0,10.0,5.9,2002.0,14,960.5,40.54999923706055,95.0909748980122,7.75,1.0,30.0,2017.0,0.2952743623341563,15.0,Ст.20С,2.0
5,273.0,10.0,0.25,2007.0,12,1028.0,205.5,76.75549724006878,7.0,1.0,12.0,2014.0,0.20336884463557506,7.0,Ст.20с,1.0
5,325.0,8.0,2.612,2006.0,14,2839.0,141.0,94.22495637998968,8.5,0.0,12.0,2014.0,0.3962919690504208,8.0,Ст.10пс,1.0
5,325.0,10.0,5.3,2004.0,13,2847.0,193.1999969482422,92.10919707614536,10.0,0.0,12.0,2013.0,0.3974086776634547,9.0,Ст.20А,1.0
6,114.0,8.0,1.5200000000000002,1994.0,13,1692.666666666667,41.0,97.19116567390492,11.233333333333334,0.0,35.666666666666664,2014.0,1.920340936134788,20.0,Ст.10,3.0
6,114.0,8.0,1.52,1995.5,13,2392.0,69.42500114440918,96.65282135563001,19.975,0.0,34.0,2016.0,2.713738983399614,20.5,Ст.10,4.0
6,159.0,4.0,1.25,1990.0,13,1364.0,44.400001525878906,96.21496270153798,8.9,0.0,34.0,2013.0,0.7954936595236187,23.0,Ст.10,1.0
6,159.0,4.0,1.25,1990.0,13,1706.0,40.0,97.27364431963795,9.0,0.0,34.0,2014.0,0.9949502808997754,24.0,Ст.10,1.0
6,159.0,4.0,1.25,1990.0,13,1345.0,73.45000076293945,94.17102545837095,8.5,0.0,34.0,2016.0,0.7844127361138322,26.0,Ст.10,2.0
6,219.0,6.0,1.32,1989.0,14,1827.0,64.0,95.80531770152405,5.7,0.0,34.0,2016.0,0.5616514939974008,27.0,Ст.10,2.0
7,114.0,10.0,0.9890000000000001,1999.0,12,1110.0,26.59999942779541,91.64023835240431,11.0,0.0,36.0,2014.0,1.2593019529989846,15.0,Ст.20,2.0
7,114.0,10.0,0.9890000000000001,1999.0,12,198.0,28.399999618530273,83.32158819677572,11.0,0.0,35.0,2015.0,0.22463224026468376,16.0,Ст.20,1.0
7,114.0,8.0,1.0,1997.0,13,95.0,7.5999999046325675,90.69767453533346,12.0,0.0,40.0,2014.0,0.1077780950764897,17.0,Ст.20,1.0
7,114.0,8.0,1.0,1997.0,13,69.0,9.399999618530273,84.15908389192741,20.0,0.0,36.0,2017.0,0.07828093221345041,20.0,Ст.20,1.0
7,114.0,8.0,0.14,1996.0,14,120.0,3.400000095367432,96.70542626417885,14.0,0.0,46.0,2016.0,0.1361407516755659,20.0,Ст.20,1.0
7,114.0,4.0,0.2,1992.0,14,197.0,35.0,79.34128202101286,12.0,0.0,36.0,2013.0,0.2234977340007207,21.0,Ст.10пс,1.0
7,114.0,9.0,0.2,1997.0,13,528.0,13.0,97.1370683579986,12.0,0.0,36.0,2014.0,0.5990193073724901,17.0,Ст.20С,1.0
7,114.0,9.0,0.2,1997.0,13,388.0,18.649999618530273,94.40054069722136,6.0,0.0,38.0,2017.0,0.4401884304176631,20.0,Ст.20С,2.0
7,114.0,10.0,0.51,1999.0,14,141.0,21.5,82.2695035460993,13.0,0.0,36.0,2016.0,0.15996538321878995,17.0,Ст.20,1.0
7,114.0,8.0,1.495,1997.0,12,1707.5,161.5999984741211,87.93616884571252,14.0,0.0,36.0,2015.0,1.9371694457169064,18.0,Ст.20С,2.0
7,114.0,8.0,1.495,1997.0,12,941.0,87.0999984741211,89.23708097840976,14.0,0.0,36.0,2016.0,1.0675703943892294,19.0,Ст.20С,2.0
7,114.0,8.0,1.495,1997.0,12,936.0,77.53333536783855,90.37080259486372,14.0,0.0,36.0,2017.0,1.0618978630694142,20.0,Ст.20С,3.0
7,114.0,10.0,1.45,1998.0,14,3292.0,328.70001220703125,88.38975344715055,8.0,0.0,36.0,2015.0,3.7347946209663583,17.0,Ст.20,1.0
7,159.0,10.0,1.1,1993.0,12,50.0,12.0,72.09302325581395,11.0,0.0,36.0,2014.0,0.029160324762595995,21.0,Ст.10,1.0
7,159.0,10.0,0.71,1993.0,13,144.0,24.85000038146973,79.87841064655822,12.0,0.0,36.0,2014.0,0.08398173531627648,21.0,Ст.20,2.0
7,159.0,6.0,1.3,1998.0,13,971.0,115.0,86.22853447656456,14.0,0.0,36.0,2016.0,0.5662935068896142,18.0,Ст.20,1.0
7,159.0,6.0,1.3,1998.0,13,385.0,86.0,74.02597402597402,15.0,0.0,36.0,2017.0,0.2245345006719892,19.0,Ст.20,1.0
7,159.0,7.0,1.442,1997.0,13,676.0,68.30000305175781,88.25168517755645,11.0,0.0,36.0,2014.0,0.3942475907902978,17.0,Ст.10,1.0
8,114.0,8.0,2.45,1997.0,13,428.0,29.399999618530273,92.01260605886486,9.41,0.0,37.0,2016.0,0.4855686809761851,19.0,Ст.20,1.0
8,159.0,8.0,3.155,2006.0,12,640.0,39.400001525878906,92.84156949021096,17.0,0.0,37.0,2013.0,0.3732521569612288,7.0,Ст.20С,1.0
8,159.0,8.0,3.155,2006.0,12,623.25,28.324999809265137,94.71581467700486,17.9375,0.0,37.0,2014.0,0.3634834481657591,8.0,Ст.20С,8.0
8,159.0,8.0,3.155,2006.0,12,712.0,26.0,95.75385419388556,8.0,0.0,37.0,2015.0,0.41524302461936696,9.0,Ст.20С,1.0
8,159.0,5.0,0.8,1987.0,14,622.5,30.449999809265137,94.55933614123435,15.5,0.0,37.0,2014.0,0.3630460432943201,27.0,Ст.10сп,2.0
8,159.0,5.0,0.8,1987.0,14,232.0,8.100000381469728,95.94025642468438,7.0,0.0,37.0,2015.0,0.1353039068984454,28.0,Ст.10сп,1.0
8,159.0,5.0,1.6,1987.0,14,212.0,7.4000000953674325,95.9412022293948,12.8,0.0,37.0,2014.0,0.12363977699340703,27.0,Ст.10сп,1.0
8,159.0,5.0,1.6,1987.0,14,227.0,7.9000000953674325,95.9532834262025,17.0,0.0,37.0,2015.0,0.13238787442218586,28.0,Ст.10сп,1.0
8,159.0,10.0,1.1333333333333333,2006.0,14,199.0,9.400000095367432,94.54566943786728,5.903333333333332,0.0,37.0,2016.0,0.11605809255513205,10.0,Ст.10сп,3.0
8,159.0,10.0,1.4,2006.0,14,208.0,8.099999904632567,95.44375894931402,7.67,0.0,37.0,2017.0,0.12130695101239936,11.0,Ст.10сп,2.0
8,219.0,8.666666666666666,1.2,1988.0,14,1213.0,47.56666666666666,95.46098948356483,13.0,0.0,37.0,2013.0,0.37289724259378615,25.0,Ст.10сп,3.0
8,219.0,8.0,1.2,1988.0,14,1029.5,38.25,95.70026517179521,14.25,0.0,37.0,2014.0,0.3164861593159957,26.0,Ст.10сп,4.0
8,219.0,8.0,1.2,1988.0,14,711.0,23.79999923706055,96.10767683298,15.0,0.0,37.0,2015.0,0.2185737341172151,27.0,Ст.10сп,1.0
8,219.0,8.0,1.2,1988.0,14,179.0,10.100000381469727,93.43900196084856,5.76,0.0,37.0,2016.0,0.05502770521375739,28.0,Ст.10сп,2.0
8,219.0,8.0,0.3,1988.0,14,828.5,28.800000190734863,96.05720664945184,15.0,0.0,37.0,2015.0,0.2546952724558547,27.0,Ст.10сп,2.0
8,219.0,8.0,0.3,1988.0,14,406.5,15.699999809265135,95.50394453066423,6.19,0.0,37.0,2016.0,0.12496515178431496,28.0,Ст.10сп,2.0
8,219.0,10.0,7.09,1997.0,11,837.0,29.29999923706055,95.92953804603088,5.75,0.0,37.0,2016.0,0.2573083199101393,19.0,Ст.20С,1.0
8,273.0,10.0,6.669,2002.0,13,3289.0,209.1999969482422,92.60395833369009,,1.0,37.0,2014.0,0.6506616050645976,12.0,Ст.20А,1.0
8,89.0,10.0,0.25,1997.0,13,315.0,32.9,87.85529715762274,13.0,0.0,37.0,2013.0,0.5863367848802037,16.0,Ст.20,1.0
10,100.0,17.0,1.7,1997.0,1,630.0,39.39999961853027,92.82037484071816,22.2,0.0,58.0,2016.0,0.9288747346072186,19.0,ГПМТ,2.0
10,100.0,17.0,0.6,2001.0,1,583.0,23.70000076293945,95.2730462397903,19.1,0.0,4.0,2014.0,0.8595777305968388,13.0,ГПМТ,1.0
10,100.0,17.0,0.6,2001.0,1,929.0,53.099998474121094,93.35369383506632,19.9,0.0,10.0,2015.0,1.3697216324604855,14.0,ГПМТ,1.0
10,100.0,17.0,1.27,2000.0,0,829.6666666666665,25.13333384195964,96.47479376635314,12.1,0.0,57.0,2014.0,1.2232641346229454,14.0,ГПМТ,3.0
10,100.0,17.0,0.53,2001.0,0,912.0,113.0,85.59261525907795,24.4,0.0,27.0,2014.0,1.3446567586694973,13.0,ГПМТ,1.0
10,100.0,17.0,0.53,2001.0,0,1405.5,107.70000076293944,91.08496004715064,30.0,0.0,27.0,2015.0,2.072275300778485,14.0,ГПМТ,2.0
10,100.0,17.0,0.57,2001.0,0,1457.0,76.4000015258789,93.90273088012331,10.4,0.0,27.0,2016.0,2.1482071243217744,15.0,ГПМТ,1.0
10,100.0,17.0,1.354,2001.0,0,638.5,26.0,95.27074401025654,14.8,0.0,44.0,2015.0,0.9414071715027128,14.0,ГПМТ,2.0
10,100.0,17.0,1.354,2001.0,0,732.0,37.0,94.12250603634516,18.5,0.0,44.0,2016.0,1.0792639773531494,15.0,ГПМТ,1.0
10,100.0,17.0,1.334,2001.0,1,417.0,10.899999618530273,96.96057118439288,9.8,0.0,44.0,2017.0,0.6148266100495399,16.0,ГПМТ,1.0
10,100.0,17.0,0.5,2001.0,0,1079.0,45.79999923706055,95.06433613842914,13.2,0.0,44.0,2015.0,1.5908822835574423,14.0,ГПМТ,1.0
10,100.0,17.0,1.7,2000.0,0,1578.5,98.3,92.84936737189669,34.0,0.0,10.0,2014.0,2.327347251710309,14.0,ГПМТ,2.0
10,114.0,10.0,0.8,2001.0,13,1504.0,56.5,95.63180356259278,21.0,0.0,9.0,2015.0,1.706297421000426,14.0,Ст.20,2.0
10,114.0,8.0,0.45,2000.0,1,732.0,16.399999618530273,97.39484057400395,10.2,0.0,9.0,2014.0,0.8304585852209522,14.0,Ст.20,1.0
10,114.0,10.0,1.7,2002.0,1,1527.0,59.0,95.50722651193249,23.0,1.0,44.0,2016.0,1.7323910650715764,14.0,Ст.20,1.0
10,114.0,8.0,0.385,1990.0,13,1253.0,38.5,96.42717942055346,11.3,0.0,9.0,2014.0,1.421536348745701,24.0,Ст.17Г1С,1.0
10,114.0,8.0,0.45,1990.0,13,2050.0,75.69999694824219,95.70618281632206,13.0,0.0,9.0,2017.0,2.3257378411242517,27.0,Ст.20,1.0
10,114.0,10.0,2.15,1997.0,13,323.0,12.699999809265135,95.43917419155625,22.2,0.0,57.0,2014.0,0.3664455232600649,17.0,Ст.10,4.0
10,114.0,10.0,2.15,1997.0,13,352.5,13.324999809265135,95.63387220860348,22.75,0.0,58.75,2015.0,0.3999134580469749,18.0,Ст.10,4.0
10,114.0,10.0,2.15,1997.0,13,699.0,75.0,87.52370496057492,25.8,1.0,57.0,2016.0,0.7930198785101714,19.0,Ст.10,1.0
10,114.0,5.0,1.56,1995.0,1,901.0,38.0,95.0958882894975,8.7,0.0,58.0,2016.0,1.0221901438307075,21.0,Ст.10,1.0
10,114.0,6.0,0.2,2002.0,1,965.0,29.60000038146973,96.43330517153036,16.9,0.0,57.0,2016.0,1.0947985447243425,14.0,Ст.20,1.0
10,114.0,8.0,0.09,1999.0,1,644.0,11.300000190734865,97.95969951777865,22.7,0.0,27.0,2015.0,0.7306220339922037,16.0,Ст.20,1.0
10,114.0,8.0,0.74,2002.0,13,1805.0,65.34999847412111,95.79003960073544,24.15,0.0,27.0,2015.0,2.047783806453304,13.0,Ст.20,2.0
10,114.0,10.0,0.1,2001.0,1,1315.0,39.099998474121094,96.54257684374208,11.0,0.0,9.0,2016.0,1.4918757371114095,15.0,Ст.20,1.0
10,114.0,10.0,2.8,1993.0,14,280.0,2.0,99.16943521594685,18.1,0.0,62.0,2015.0,0.3176617539096538,22.0,Ст.20,1.0
10,114.0,10.0,0.2,2002.0,1,759.0,24.20000076293945,96.29255128183664,8.4,0.0,62.0,2013.0,0.8610902543479544,11.0,Ст.20,1.0
10,114.0,4.0,0.2,1993.0,1,269.0,8.139999961853027,96.48136942947477,23.7,0.0,39.0,2016.0,0.30518218500606026,23.0,Ст.10,5.0
10,114.0,10.0,1.9,1997.0,13,1007.0,22.0,97.45964296436571,16.3,0.0,10.0,2016.0,1.1424478078107905,19.0,Ст.20,1.0
10,114.0,12.0,1.5,1997.0,1,550.0,19.200000762939453,95.94080322136587,29.8,0.0,57.0,2015.0,0.623978445179677,18.0,Ст.20,1.0
10,114.0,10.0,1.3,2001.0,14,383.0,13.0,96.05319084340277,10.6,0.0,62.0,2014.0,0.4345158990978478,13.0,Ст.09ГСФ,1.0
10,114.0,10.0,1.3,2001.0,14,370.0,16.200000762939453,94.90886211095557,10.1,0.0,62.0,2015.0,0.41976731766632813,14.0,Ст.09ГСФ,1.0
10,114.0,10.0,1.3,2001.0,14,463.0,19.53333282470703,95.15696828274973,11.833333333333336,0.0,62.0,2016.0,0.5252764002148919,15.0,Ст.09ГСФ,3.0
10,114.0,8.0,0.12,1997.0,1,1154.0,30.29999923706055,96.94691878228805,16.0,0.0,64.0,2016.0,1.3092202286133592,19.0,Ст.10,1.0
10,114.0,10.0,1.1,1997.0,13,828.0,45.70000076293945,93.582181670186,11.5,0.0,57.0,2013.0,0.9393711865614048,16.0,Ст.20,1.0
10,114.0,10.0,1.1,1997.0,13,1165.0,61.2750015258789,93.95379454052231,18.925,0.0,57.0,2014.0,1.3216997975169524,17.0,Ст.20,4.0
10,114.0,10.0,1.1,1997.0,13,1306.5,72.5,93.54761602188213,21.95,0.0,57.0,2015.0,1.4822324338677242,18.0,Ст.20,2.0
10,114.0,10.0,1.1,1997.0,13,1162.0,62.5,93.74574710803344,21.3,0.0,57.0,2017.0,1.3182962787250632,20.0,Ст.20,1.0
10,114.0,10.0,0.5,1997.0,13,485.0,20.399999618530273,95.10908664144564,14.5,0.0,57.0,2017.0,0.5502355380220789,20.0,Ст.20,1.0
10,114.0,10.0,0.4,2001.0,1,628.5,50.64999961853027,90.62932178941773,24.3,0.0,26.0,2015.0,0.7130371869007766,14.0,Ст.09ГСФ,2.0
10,114.0,10.0,0.4,2001.0,1,674.0,48.05000114440918,91.71037555511904,26.7,0.0,26.0,2016.0,0.7646572219110952,15.0,Ст.09ГСФ,2.0
10,114.0,5.0,0.2,2000.0,13,1252.0,32.799999237060554,96.95371134212604,9.4,0.0,27.0,2015.0,1.4204018424817375,15.0,Ст.09Г2С,1.0
10,114.0,7.0,2.1,1995.0,14,1026.0,18.299999237060547,97.92601667833306,24.3,0.0,27.0,2015.0,1.1640034268260886,20.0,Ст.20,1.0
10,114.0,7.0,2.1,1995.0,14,289.0,15.199999809265135,93.884284296586,15.0,1.0,27.0,2016.0,0.3278723102853213,21.0,Ст.20,1.0
10,114.0,8.0,0.5,1990.0,12,795.0,34.5,94.95392716103554,29.9,0.0,26.0,2015.0,0.9019324798506242,25.0,Ст.20,1.0
10,114.0,10.0,0.99,2001.0,13,1034.0,33.09999847412109,96.2777204720749,9.3,0.0,8.0,2017.0,1.1730794769377928,16.0,Ст.20,1.0
10,114.0,10.0,0.08,1998.0,1,2235.0,100.0,94.79735705738516,20.0,0.0,28.0,2014.0,2.5356214999574154,16.0,Ст.10пс,1.0
10,114.0,10.0,0.08,1998.0,1,2659.0,166.5,92.71889239703684,24.0,0.0,28.0,2015.0,3.016652155877748,17.0,Ст.10пс,1.0
10,114.0,10.0,0.1,1993.0,1,704.0,27.0,95.54043340380551,25.0,0.0,28.0,2014.0,0.7986924098299866,21.0,Ст.20,1.0
10,114.0,10.0,0.1,1993.0,1,604.0,17.949999809265137,96.54411009004095,25.9,0.0,28.0,2016.0,0.6852417834336817,23.0,Ст.20,2.0
10,114.0,8.0,1.526,2001.0,1,408.0,22.899999618530273,93.4735523203003,18.1,0.0,28.0,2016.0,0.4628785556969241,15.0,Ст.20,1.0
10,114.0,10.0,0.8,1992.0,1,436.5,20.550000190734863,94.52585387404837,15.85,0.0,9.0,2015.0,0.495211984219871,23.0,Ст.20,2.0
10,114.0,10.0,0.8,1992.0,1,373.0,18.600000381469727,94.20163339937972,17.8,0.0,9.0,2017.0,0.4231708364582174,25.0,Ст.20,1.0
10,114.0,10.0,0.7,1997.0,1,1508.0,51.0,96.06748504102151,10.6,0.0,8.0,2016.0,1.7108354460562782,19.0,Ст.10,1.0
10,114.0,6.0,0.35,1997.0,1,653.5,17.149999618530273,96.94846142111248,70.25,0.0,58.0,2014.0,0.7413998434998528,17.0,Ст.20,2.0
10,114.0,6.0,0.35,1997.0,1,680.0,24.0,95.89603283173734,14.3,0.0,58.0,2016.0,0.7714642594948734,19.0,Ст.20,1.0
10,114.0,6.0,0.35,1997.0,1,542.0,18.899999618530273,95.94525023201531,16.1,0.0,58.0,2017.0,0.6149023950679727,20.0,Ст.20,1.0
10,114.0,5.0,0.42,2002.0,1,1028.0,38.599998474121094,95.63387945953748,12.7,0.0,28.0,2015.0,1.1662724393540147,13.0,Ст.20,1.0
10,114.0,5.0,0.42,2002.0,1,1201.0,44.0,95.73995205962282,10.95,0.0,28.0,2016.0,1.362542023019622,14.0,Ст.20,2.0
10,114.0,8.0,1.8,1989.0,14,890.0,40.0,94.77397439247451,31.6,0.0,58.0,2014.0,1.0097105749271138,25.0,Ст.10,1.0
10,114.0,8.0,1.8,1989.0,14,1425.5,40.0,96.72272761146459,23.2,0.0,58.0,2015.0,1.6172386792793263,26.0,Ст.10,2.0
10,114.0,10.0,0.652,2001.0,13,1346.0,39.0,96.63084418950207,18.3,0.0,8.0,2015.0,1.5270454312942645,14.0,Ст.10,1.0
10,114.0,4.0,2.38,1989.0,14,687.5,22.874999904632567,96.12646065263327,18.025,0.0,10.0,2013.0,0.7799730564745964,24.0,Ст.20,4.0
10,114.0,4.0,2.38,1989.0,14,488.5,21.275000095367428,94.93610330288666,13.45,0.0,10.0,2014.0,0.5542063099459495,25.0,Ст.20,4.0
10,114.0,4.0,2.38,1989.0,14,710.0,28.266667048136398,95.44427134279935,14.4,0.0,10.0,2015.0,0.805499447413765,26.0,Ст.20,3.0
10,114.0,4.0,2.38,1989.0,14,1014.6666666666665,28.433333079020187,96.75648748004221,19.4,0.0,10.0,2016.0,1.1511456891678409,27.0,Ст.20,3.0
10,114.0,10.0,0.15,2006.0,1,837.8333333333335,40.88333269755046,95.3039820648666,30.11666666666667,0.0,58.0,2016.0,0.950527164823708,10.0,НД,6.0
10,114.0,10.0,0.15,2006.0,1,987.0,42.449999809265144,95.65337161625992,32.3,0.0,58.0,2017.0,1.1197576825315296,11.0,НД,2.0
10,114.0,5.0,0.3,1989.0,1,507.0,22.100000381469727,94.93142507649428,17.4,0.0,10.0,2014.0,0.575194675829266,25.0,Ст.20,1.0
10,114.0,5.0,0.3,1989.0,1,536.6666666666666,18.75,95.93757646233117,20.233333333333334,0.0,10.0,2016.0,0.6088516949935031,27.0,Ст.20,6.0
10,114.0,5.0,0.3,1989.0,1,483.0,16.833333333333332,95.94748019410848,21.466666666666672,0.0,10.0,2017.0,0.5479665254941528,28.0,Ст.20,3.0
10,114.0,5.0,0.44,1992.0,1,254.0,17.700000762939453,91.89708809607241,22.4,0.0,64.0,2014.0,0.2881645910466145,22.0,Ст.20,1.0
10,114.0,5.0,0.44,1992.0,1,254.0,18.0,91.7597509613624,21.0,0.0,64.0,2016.0,0.2881645910466145,24.0,Ст.20,1.0
10,114.0,5.0,0.44,1992.0,1,211.0,11.600000381469727,93.60740638076176,21.6,0.0,64.0,2017.0,0.2393808216962034,25.0,Ст.20,1.0
10,114.0,10.0,0.2,1992.0,1,1086.0,60.0,93.5757420017988,15.1,0.0,28.0,2014.0,1.2320738026638716,22.0,Ст.20,1.0
10,114.0,10.0,0.2,1992.0,1,1775.0,101.4000015258789,93.28332732039965,11.45,0.0,28.0,2015.0,2.0137486185344127,23.0,Ст.20,2.0
10,114.0,10.0,1.185,1994.0,13,347.0,22.79999923706055,92.35976166575277,15.5,0.0,28.0,2016.0,0.3936736735951781,22.0,Ст.20,1.0
10,159.0,10.0,0.35,2007.0,7,698.0,36.0,94.00279869394281,23.0,0.0,28.0,2017.0,0.4070781336858401,10.0,Ст.10,1.0
10,159.0,10.0,2.2,1998.0,12,1949.0,83.19999694824219,95.03621434079241,19.6,0.0,9.0,2013.0,1.1366694592459918,15.0,Ст.20,1.0
10,159.0,10.0,2.2,1998.0,12,1493.666666666667,57.0,95.56168980513391,18.966666666666672,0.0,9.0,2015.0,0.8711161017412842,17.0,Ст.20,3.0
10,159.0,10.0,2.2,1998.0,12,1812.5,74.125,95.23189987564596,28.025,0.0,9.0,2016.0,1.0570617726441047,18.0,Ст.20,4.0
